id;airline;plane_model;total_seats;origin;destination;schedule_departure_date;schedule_arrival_date;real_departure_date;real_arrival_date;pilot;copilot;notes
0000000007;Aeroflot;Airbus A320;250;SVO;TXL;2021/05/08 14:06:15;2021/05/08 17:21:15;2021/05/08 14:51:15;2021/05/08 21:36:15;Jane Moore;;
0000000009;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/03/04 06:06:17;2022/03/04 07:16:17;2022/03/04 06:11:17;2022/03/04 08:51:17;;Sarah Johnson;We have a strong commitment to on-time departures.
0000000025;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2023/08/17 02:01:26;2023/08/17 01:16:26;2023/08/17 01:46:26;2023/08/17 03:16:26;Sarah Williams;John Davis;
;Alitalia;Boeing 767;280;FCO;ATH;2022/09/05 11:07:34;2022/09/05 13:07:34;2022/09/05 11:07:34;2022/09/05 15:07:34;David Johnson;William Brown;
0000000041;Vueling Airlines;Airbus A319;160;BCN;Athens;2021/10/03 17:03:17;2021/10/03 18:53:17;2021/10/03 17:08:17;2021/10/03 20:48:17;Laura Moore;Jane Williams;
0000000058;Alitalia;Boeing 767;280;FCO;ATH;2022/04/06 10:53:02;2022/04/06 12:53:02;2022/04/06 11:23:02;2022/04/06 16:08:02;;William Brown;
0000000063;;Airbus A320;200;IST;prG;2022/07/04 17:50:18;2022/07/04 20:20:18;2022/07/04 18:20:18;2022/07/05 00:05:18;Jane Miller;Laura Taylor;
0000000094;Aer Lingus;;180;DUB;LIS;2021/11/08 04:43:09;2021/11/08 07:43:09;2021/11/08 04:43:09;2021/11/08 10:58:09;William Williams;Olivia Johnson;
0000000096;;Boeing 767;280;FCO;ATH;2022/02/11 03:07:49;2022/02/11 05:07:49;2022/02/11 03:07:49;2022/02/11 07:27:49;David Johnson;William Brown;
0000000098;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/08/09~05:15:00;2022/08/09 06:45:00;2022/08/09 05:45:00;2022/08/09 08:45:00;Emily Williams;Michael Smith;
0000000102;Transavia;Airbus A320;180;AMS;NCE;2021/11/02 08:50:58;2021/11/02 06:30:58;2021/11/02 06:30:58;2021/11/02 11:10:58;Laura Davis;Robert Davis;
0000000123;Turkish Airlines;Airbus A320;Y;IST;PRG;2021/03/15 05:41:18;2021/03/15 08:11:18;2021/03/15 05:56:18;2021/03/15 11:11:18;Jane Miller;Laura Taylor;
0000000129;Scandinavian Airlines (SAS);;160;ARN;HEL;2021/09/10 12:13:40;2021/09/10 13:23:40;2021/09/10 12:18:40;2021/09/10 15:23:40;Jane Smith;Sarah Johnson;Our fuel consumption is on track with the flight plan.
;Alitalia;Boeing 767;280;FCO;ATH;2021/04/15 05:02:42;2021/04/15 07:02:42;2021/04/15 05:17:42;2021/04/15 09:37:42;David Johnson;William Brown;
0000000139;Aer Lingus;Airbus A320;180;DUB;LIS;2021/11/06 06:05:10;2021/11/06 09:05:10;2021/11/06 06:05:10;2021/11/06 12:20:10;;Olivia Johnson;
