id;name;email;phone_number;birth_date;sex;passport;country_code;address;account_creation;pay_method;account_status
SarBarros705;Sara Barros;sarbarros705@li3.pt;926 196 593;1966/11/14;F;GX630522;PT;Av de Batista, 474361-225 Sacavém;2013/12/16 22:58:18;;active
IsabePinto;Isabel Pinto;isabepintoatli3.pt;207 599 042;1961/04/17;F;ES428178;PT;Travessa de Rodrigues, 8218733-154 Abrantes;2012/05/04 06:16:30;credit_card;active
;Mateus Pacheco;matpacheco1358@li3.pt;276875119;1951/11/25;M;XG676841;PT;Rua de Guerreiro, 929139-820 Aveiro;2013/06/05 11:21:13;credit_card;active
PedPinto667;Pedro Pinto;pedpinto667@li3.pt;932 468 624;2000|06|25;M;QB421136;PT;Avenida Soares, 511971-048 Gondomar;2015/05/11 03:29:35;debit_card;active
MadaleFernandes;Madalena Fernandes;madalefernandes@li3.pt;;1995/07/03;F;MY881149;PT;Avenida 25 de Abril, 582687-441 Vila Nova de Santo André;2010/07/18 07:51:50;credit_card;active
AriGuerreiro;Ariana Guerreiro;ariguerreiro@li3.pt;933 544 293;1980/05/07;F;KR454350;PT;Alameda de Rodrigues de Freitas, S/N6151-873 Póvoa de Varzim;2015/11/06 08:04:30;credit_card;KR454350
IsaMendes659;;isamendes659@li3.pt;(351) 207 111 562;1968/05/08;F;BK805098;PT;Travessa de Guerreiro, S/N3033-933 Mirandela;2016/07/22 08:25:13;debit_card;active
PiCampos1462;;picampos1462@li3.pt;(351) 207248591;1997/02/18;F;AX492268;PT;Largo de Faria, 190120-318 Vila Nova de Santo André;2016/04/21 16:48:27;debit_card;active
IriSousa2011;Irina Sousa;irisousa2011@li3.pt;(351) 932873237;2000/05/09;F;LY088028;PT;;2018/06/03 19:45:02;credit_card;active
AVicente199;Alice Vicente;avicente199@li3.pt;(351) 918 767 216;1955/02/18;;QU907053;PT;R. Tatiana Soares, 19062-735 Rio Maior;2012/09/09 15:14:09;debit_card;active
LAmaral;Lúcia Amaral;lamaral@li3.pt;(351) 962192613;1986/01/16;F;;PT;Rua Gomes, 268166-408 Albufeira;2019/03/02 04:57:33;credit_card;active
ÁlLopes;Álvaro Lopes;állopes@li3.pt;(351) 913061720;1959/01/30;M;QX558471;PT;R. Matos, 721613-974 Aveiro;10:55:11 PM/11/11/2006;cash;active
BruEsteves843;Bruna Esteves;bruesteves843@li3.pt;935 004 154;1973/03/15;F;KX826394;PT;Largo do Pedregulho, 8898992-523 Marinha Grande;2011/10/26 01:35:27;debit_card;KX826394
SAmorim;Salomé Amorim;samorim@li3.pt;(351) 211 109 879;1953/08/29;F;LD017452;PT;Praça Ribeiro, S/N0319-481 Penafiel;2018/03/24 12:14:01;cash;LD017452
BernaTorres;Bernardo Torres;bernatorres@li3.pt;(351) 932 672 233;2000/02/08;M;KE330897;PT;Praça de Campos, 31113-966 Setúbal;2017/04/07 08:00:38;;active
FranciMendes;Francisca Mendes;francimendes@li3.pt;201888989;2000/01/06;F;CW417347;JEF;Avenida da Pasteleira, 764471-472 Ponta Delgada;2017/06/10 15:48:02;credit_card;active
MateuSimões-Amaral;Mateus Simões-Amaral;mateusimões-amaral@li3.pt;939553460;1999/10/10;M;MI946317;XBT;Travessa do Seminário, 52227-119 Peso da Régua;2010/12/11 07:24:22;debit_card;active
LetíciCunha1646;Letícia-Lúcia Cunha;letícicunha1646@li3.pt;;1968/07/16;F;HS442752;PT;R. de Ferreira, 609149-647 Rebordosa;2010/05/07 17:52:05;debit_card;active
RCardoso;Rafaela Cardoso;rcardoso@li3.pt;(351) 919045284;1992/10/16;F;;PT;Travessa do Mestre de Aviz, S/N1173-507 Chaves;2018/02/18 02:05:15;debit_card;active
VitóMorais;;vitómorais@li3.pt;961720504;1955/10/30;F;QT549461;PT;Rua de Castro, S/N6489-544 São Salvador de Lordelo;2011/12/29 08:58:57;debit_card;active
LMelo1415;Luís Melo;lmelo1415@li3.pt;(351) 962 957 239;1994/11/27;M;IP989518;PT;Avenida Filipe Mota, 1830024-811 Paços de Ferreira;2012/12/06 18:31:59;;active
AMonteiro;Anita Monteiro;amonteiro@li3.pt;(351) 915 173 616;1999/11/24;F;DL700677;T;Avenida Nascimento, 41493-102 Almada;2012/07/29 00:18:46;debit_card;active
;Naiara Reis;naiarreis843@li3.pt;962001827;2005/07/20;F;QF042786;PT;Alameda do Tijolo, 114847-457 Montemor-o-Novo;2010/12/24 08:24:21;cash;active
KyMiranda-Pinto677;Kyara Miranda-Pinto;kymiranda-pinto677@li3.pt;(351) 922 661 628;11/12/2013;F;LB495850;PT;Travessa Caetana Magalhães, 19106-991 Abrantes;2019/05/25 20:20:34;cash;active
FAssunção;;fassunção@li3.pt;(351) 933501465;2000/06/07;M;WX815297;PT;Travessa Valente, 570732-799 Matosinhos;2020/04/16 07:31:10;credit_card;active
DAmaral1023;Diogo Amaral;damaral1023@li3.pt;223853234;1970/08/08;M;KK818675;PT;Travessa Bruno Branco, 26732-967 Felgueiras;2010/10/30~17:12:04;credit_card;active
DuartAzevedo1967;Duarte Azevedo;duartazevedo1967@li3.pt;(351) 967 236 153;1972/07/04;;HW347297;PT;Largo Mário Alves, 209700-561 Tarouca;2014/05/28 23:52:31;credit_card;Active
SoCruz;Sofia Cruz;socruz@li3.pt;+351962549569;1979/05/04;F;HJ895788;PT;;2014/03/15 11:42:47;debit_card;active
AndreLopes;Andreia-Lara Lopes;andrelopes@li3.pt;+351924040820;1964/11/24;F;;PT;Alameda Vicente Lourenço, 84883-777 Santiago do Cacém;2010/04/12 18:02:43;debit_card;active
DeAlves;Denis Alves;dealves@li3.pt;(351) 288 503 051;1955/03/12;M;;PT;R. dos Guindais, 7196275-192 Gouveia;2020/09/29 10:07:14;cash;active
FredSimões1598;Frederico Simões;fredsimões1598@li3.pt;(351) 233 236 486;1992/10/05;M;BD607494;PT;Av de Pereira, 247427-554 Silves;2014|09|25 16:29:52;cash;active
MFernandes-Lourenço1026;Mariana Fernandes-Lourenço;mfernandes-lourenço1026@li3.pt;(351) 911937248;1963/11/07;F;XX050836;PT;Avenida de Pires, 835450-125 Anadia;2016/10/11 03:50:26;;active
BárRodrigues66;;bárrodrigues66@li3.pt;962257793;1963/02/08;F;HE265856;PT;Rua de Santa Clara, 291488-953 Porto;2010/09/10 15:30:29;cash;active
IsaPinheiro1037;Isaac Pinheiro;isapinheiro1037@li3.pt;915237892;2001/11/08;M;MU276844;PT;Travessa Vieira, 511648-540 Mangualde;2015/11/29 10:24:26;cash;MU276844
FMacedo;Flor Macedo;fmacedo@li3.pt;925781535;1969/01/28;F;BZ183919;PT;;2014/06/13 09:00:06;credit_card;active
CarloDomingues;;carlodomingues@li3.pt;(351) 918 555 438;1996/06/04;F;KE687521;PT;Largo Pinto, 5191808-331 Mealhada;2016/06/27 23:37:33;debit_card;active
FilipCarneiro;Filipe Carneiro;filipcarneiro@li3.pt;(351) 914814800;1980/09/01;M;HT798215;PT;Largo de Matos, 698233-046 Vila do Conde;07/12/2005;debit_card;active
RodriAzevedo-Amorim;;rodriazevedo-amorim@li3.pt;(351) 930310822;1978/09/14;M;TN104477;PT;R. Vítor Cardoso, 33816-770 Seixal;2015/10/16 22:46:12;debit_card;active
DanieNascimento;Daniel Nascimento;danienascimento@li3.pt;932 536 605;1962/05/06;M;PR456793;PT;;2017/07/31 07:58:25;credit_card;active
GabrieAzevedo561;Gabriela Azevedo;gabrieazevedo561@li3.pt;969 203 812;2000/12/06;F;;PT;Praça Nádia Abreu, 700582-190 Gafanha da Nazaré;2018/06/12 05:12:37;cash;active
LucLourenço;Luca Lourenço;luclourenço@li3.pt;203477166;1974/05/18;;AV901022;PT;Rua de Amorim, S/N0057-231 Ponta Delgada;2018/05/25 06:24:36;debit_card;active
BryFigueiredo;Bryan Figueiredo;bryfigueiredo@li3.pt;(351) 931 915 648;1956/08/18;M;JD439891;PT;;2019/03/06 05:52:52;cash;active
KSilva411;;ksilva411@li3.pt;(351) 217 108 760;2000/02/18;F;RU178276;PT;Rua de Tavares, 423207-467 Santiago do Cacém;2020/12/22 22:33:30;credit_card;active
LuaBarros1744;Luana Barros;luabarros1744@li3.pt;969 833 281;2003|03|13;F;UK762095;PT;Travessa Ferreira, 463129-433 São João da Madeira;2011/12/08 17:13:34;credit_card;active
MPinto;Mateus de Pinto;mpinto@li3.pt;(351) 961912828;1977/05/18;M;CB350994;PT;Largo Pinho, 827689-430 Mêda;2013/05/11 05:59:56;cash;CB350994
TiaPinto;Tiago Pinto;tiapinto@li3.pt;(351) 917351235;1960/08/17;;EW810727;PT;Alameda dos Guindais, 417553-747 Peso da Régua;2017/09/09 05:19:39;debit_card;active
NoaCruz144;Noah Cruz;noacruz;(351) 938 589 335;2001/08/31;M;JX442675;PT;R. de Pinheiro, 83645-277 Quarteira;2015/09/27 16:32:50;credit_card;active
FábiLourenço;Fábio Lourenço;fábilourenço@li3.pt;+351914270930;1992/08/26;M;JW450649;PT;;2015/04/13 19:23:56;debit_card;active
IOliveira703;Irina Oliveira;ioliveira703@li3.pt;(351) 966 864 993;1964/12/29;F;MJ130471;PT;;2019/10/01 14:27:21;credit_card;active
BFaria904;Brian Faria;bfaria904@li3.pt;(351) 913229221;1957/08/20;M;;PT;Av de Pacheco, 365694-708 Penafiel;2014/05/20 20:33:39;cash;active
VicentMiranda1943;Vicente Miranda;vicentmiranda1943@li3.pt;(351) 965016140;;M;HG728762;PT;Rua Luísa Matias, 670776-600 Caldas da Rainha;2011/01/28 15:41:55;debit_card;active
EnMendes;Enzo Mendes;enmendes@li3.pt;(351) 922677500;22/12/2015;M;DC016979;PT;R. das Sereias, 1462250-104 Cantanhede;2014/01/20 07:53:12;cash;active
KGomes-Matias;Kelly Gomes-Matias;kgomes-matias@li3@pt;918260425;1959/03/28;F;FH466852;PT;Alameda de Rocha, 501307-245 Trancoso;2017/05/19 07:12:32;debit_card;active
SoraiCampos;Soraia Campos;soraicampos@li3.pt;219 699 850;1969/09/28;F;IN826581;L;Rua de Borges, 937979-504 Vila Nova de Santo André;2010/05/26 17:32:12;credit_card;active
RenatMoreira1229;Renata Moreira;renatmoreira1229@li3.pt;(351) 915254878;1995/10/29;F;UY188796;PT;Rua Pinto, 6004377-825 Caniço;2018/07/07 16:42:43;;Active
LBrito136;Luana Brito;lbrito136@li3.pt;(351) 932 182 298;1980/06/20;F;MQ600061;PT;Av Rodrigues, S/N7363-583 Montemor-o-Novo;2018/03/13 13:18:46;;active
RAraújo;Rui Araújo;raraújo@li3.pt;+351935979039;1987/03/22;M;TJ896081;HAS;Alameda de Amorim, 325031-865 Castelo Branco;2020/04/07 04:26:03;cash;active
CésFernandes316;César do Fernandes;césfernandes316@li3.pt;932 894 511;1967/04/08;M;NW946324;PT;Praça Monteiro, 29465-253 Santa Comba Dão;2020/09/24 06:08:21;credit_card;
JéssiBranco1158;Jéssica Branco;jéssibr;+351922587437;1986/06/27;F;NX962913;PT;Av Simões, 345028-013 Braga;2019/05/28 21:58:35;credit_card;active
MadalenNunes;Madalena Nunes;madalennunes@li3.pt;922 710 764;1967/12/29;F;WD253953;HXB;Largo de Torres, 9966561-173 Mirandela;2018/08/26 02:37:46;cash;active
Kelly-SaBatista;Kelly-Salomé Batista;kelly-sabatista@li3.pt;+351964786456;1983/04/01;F;XK334856;PT;;2019/11/15 22:30:26;cash;active
VAmorim;Valentim do Amorim;vamorim@li3.pt;(351) 964864035;1954/05/11;M;QZ626438;PT;Av Neto, 204478-243 Pombal;2019/02/06 02:37:18;;active
FabBranco218;Fabiana Branco;fabbranco218@li3.pt;284124796;1997/08/30;F;KI676556;PT;Largo Sandro Carneiro, 15907-751 Costa da Caparica;2018/04/21 21:06:14;;active
AlícAmorim1962;Alícia-Soraia Amorim;alícamorim1962.li3.pt;(351) 211 325 026;2001/08/05;F;RB425360;PT;Travessa de Rodrigues, 26403-155 Ovar;2017/08/24 19:09:01;debit_card;active
HenriSilva;Henrique Silva;henrisilva@li3.pt;+351938289958;1955/10/23;M;GN199612;PT;Avenida José Rocha, 35003-272 Sintra;08/03/2015;cash;active
;Madalena Pinheiro;madapinheiro@li3.pt;249 735 121;1987/07/11;F;JZ116375;PT;R. de Vieira, 848650-940 Lagoa;2020/12/19 07:38:40;debit_card;active
CaNascimento-Barbosa;Caetana Nascimento-Barbosa;canascimento-barbosa@li3.pt;(351) 964 196 165;1994/01/19;F;;PT;Travessa de Pacheco, 713111-138 Figueira da Foz;2020/05/30 18:32:17;debit_card;active
RuFernandes687;Rui do Fernandes;rufernandes687@li3.pt;+351220817258;1958/09/10;M;ZJ855686;PT;;2010/04/08 07:46:50;cash;active
EMagalhães;Enzo Magalhães;emagalhães@li3.pt;;2000/09/12;M;PL274079;PT;Avenida Álvaro Melo, 418413-033 Lagoa;2015/06/20 12:01:00;debit_card;active
;Joaquim Melo;joamelo1703@li3.pt;(351) 226536579;1982/04/08;M;HI540386;PT;Avenida Gomes, 114500-501 Porto Santo;2011/08/14 18:33:58;cash;active
FernandDomingues;Fernando da Domingues;fernanddomingues@li3.pt;(351) 910193505;05:11:43 AM/03/12/2002;M;YM180812;PT;R. Bernardo Castro, 203034-481 Caldas da Rainha;2011/02/27 00:43:26;debit_card;active
PedrGaspar1428;Pedro Gaspar;pedrgaspar1428@li3.pt;(351) 219 292 386;1971/02/02;M;AO228335;PT;;2012/02/28 14:10:13;cash;active
;Lourenço Henriques;lourenhenriques626@li3.pt;921320289;1996/05/08;M;AQ368418;PT;Avenida de Guerreiro, S/N0044-966 Ermesinde;2011/01/15 14:23:39;credit_card;active
RTeixeira47;Rita Teixeira;rteixeira47atli3.pt;920296627;1994/04/19;F;ZI700891;PT;Largo Lisandro Reis, S/N2582-643 Leiria;2012/03/14 16:05:21;debit_card;active
;Núria Leite;núrileite@li3.pt;(351) 960 846 108;1968/02/11;F;XP764580;PT;Av Luca Barbosa, 572344-471 Faro;2020/11/21 22:44:12;debit_card;active
MVieira-Magalhães;Matilde Vieira-Magalhães;mvieira-magalhães@li3.pt;(351) 937 673 021;1951/06/11;F;SP484924;TGK;Praça da Baleia, 41746-243 Vizela;2019/09/09 23:15:35;credit_card;active
EJesus-Sousa;Eduardo Jesus-Sousa;ejesus-sousa@li3.pt;(351) 252 985 072;2002/03/13;M;RI488135;PT;R. de Reis, 1257903-247 Vila do Conde;2011/01/15 04:19:34;;inactive
;Joel Ramos;jramos235@li3.pt;(351) 258 247 527;1958/04/10;M;HT260432;PT;Largo de Andrade, 8747443-605 Oliveira do Bairro;2015/08/12 13:14:38;credit_card;active
FabiaPinho;Fabiana Pinho;fabiapinho@li3.pt;232160963;04:26:56 PM/01/06/2014;F;ZK022857;PT;Rua de Neto, 272918-352 Felgueiras;2011/11/21 13:42:49;debit_card;active
PilAmaral;Pilar Amaral;pilamaral.li3.pt;+351912947139;1986/09/25;F;IU123387;PT;Largo 25 de Abril, 512514-393 Agualva-Cacém;2012/10/28 09:39:38;credit_card;active
BrLourenço720;Bruno Lourenço;brlourenço720@li3.pt;(351) 935863916;1957/03/21;M;VU530156;PT;;2016/05/22 16:24:11;credit_card;active
;Jéssica Barbosa;jébarbosa@li3.pt;(351) 967 083 369;1959/03/13;F;LZ253184;PT;Praça de Soares, 31575-474 Esmoriz;2017/10/13 06:45:19;credit_card;active
MárciLeite91;;márcileite91@li3.pt;(351) 913366405;1997/08/04;M;ZI043805;PT;Largo do Monte de S. João, S/N9713-166 Rebordosa;2018/06/30 18:35:05;cash;active
LetíNeves;Letícia Neves;letíneves@li3.pt;929746407;1955/11/13;F;UW888156;PT;Av Azevedo, S/N4294-220 Almeirim;2013/04/30 22:52:59;;ACTIVE
SimãCruz;Simão Cruz;simãcruz@li3.pt;929021432;1995/11/11;M;CV678320;PT;Largo de Maia, S/N9365-438 Vila Nova de Foz Côa;2014/01/10 15:38:49;debit_card;CV678320
Margarida-EmMoura2015;Margarida-Ema Moura;margarida-emmoura2015@li3.pt;(351) 920 574 931;1968/12/01;;UN694647;PT;Rua de Castro, 817992-987 Vendas Novas;2015/03/16 06:10:14;credit_card;active
DiaBarros;Diana Barros;diabarros@li3.pt;(351) 912384112;1983/05/18;F;;PT;Av de Rodrigues, 9714129-744 Castelo Branco;2020/02/08 08:22:23;cash;active
MMiranda-Henriques420;Madalena Miranda-Henriques;mmiranda-henriques420.li3.pt;(351) 231331247;1961/03/20;F;TE137437;PT;Rua de Morais, 50549-551 Ermesinde;2017/04/08 03:28:57;debit_card;active
EmOliveira550;Emma Oliveira;emoliveira550@li3.pt;271 777 391;1980/10/15;F;RP389287;B;Rua do Olival, 6408965-912 Santiago do Cacém;2018/10/23 15:16:12;debit_card;active
TeLopes;;telopes@li3.pt;(351) 283896640;1995/06/18;F;HY028635;PT;Travessa Wilson Henriques, 455275-319 Torres Vedras;2013/05/04 13:09:29;debit_card;active
DMoreira;Denis Moreira;dmoreira@li3.pt;;1995/07/25;M;CV786045;PT;Av do Ródano, 93598-746 Santa Comba Dão;2017/10/28 13:02:05;debit_card;active
MiMagalhães;Micael Magalhães;mimagal;(351) 917746908;1999/01/09;M;KC486400;PT;Largo de Pinheiro, 353766-505 Oliveira do Hospital;2011/05/30 10:50:14;cash;active
AlexaLima996;Alexandra Lima;alexalima996@li3.pt;+351936241222;1951/04/05;F;NR328838;PT;;2014/07/26 01:04:15;debit_card;active
CamilAntunes1507;Camila Antunes;camilantunes1507@li3.pt;939303934;1956/07/26;F;;PT;Avenida Velho do Outeiro, S/N0118-316 Guarda;2012/04/09 15:33:21;cash;ACTIVE
FranCoelho416;Francisco Coelho;francoelho416@li3.pt;;1954/05/16;M;SZ671235;PT;Rua Artur Esteves, 708435-516 Vila Real de Santo António;2018/06/11 16:13:40;debit_card;active
ÁlvarAlves;Álvaro Alves;álvaralves@li3.pt;(351) 916025954;10:47:40 PM/18/11/2020;M;MV266828;PT;Largo Matias Miranda, 858732-417 Braga;2010/01/12 19:57:32;cash;active
EMoreira-Melo1693;Ema Moreira-Melo;emoreira-melo1693@li3.pt;(351) 911 164 958;2004|12|26;F;TT702621;PT;Travessa do Cantábrico, 44058-060 Lisboa;2011/04/27 04:05:29;credit_card;active
IgAssunção;Igor Assunção;igassunção@li3.pt;(351) 960 224 264;1951/06/01;M;;PT;Alameda das Olaias, 8577565-403 Costa da Caparica;2013/10/09 08:56:20;cash;active
NAmorim;Núria Amorim;namorim;(351) 968 024 748;1958/04/22;F;SJ652563;PT;Praça Amorim, 610488-496 Alcácer do Sal;2012/06/17 23:04:16;credit_card;active
DianAntunes;Diana Antunes;dianantunes@li3.pt;937 874 595;1969/08/11;F;WC850352;PT;;2010/05/29 08:35:53;credit_card;active
ReBarbosa;Renata Barbosa;rebarbosa@li3.pt;+351914670375;2002/09/17;F;;PT;Travessa 9 de Abril, 918807-342 Mealhada;2010/04/24 14:28:39;cash;active
FMartins-Figueiredo;Flor Martins-Figueiredo;fmartins-figueiredo@li3.pt;+351273554767;1977/01/19;F;ZU492311;U;Rua Domingues, 7065170-072 Lixa;2019/08/21 06:32:55;cash;active
LariGuerreiro;Larissa Guerreiro;lariguerreiro@li3.pt;937966953;1997/05/04;;MG432678;PT;Av de Oliveira, S/N6412-987 Santa Maria da Feira;2018/04/08 16:21:58;cash;active
GAzevedo1479;Gaspar Azevedo;gazevedo1479@li3.pt;969143241;2004/04/07;;IG345268;PT;R. Cristiano Anjos, 4527998-706 Alcácer do Sal;2014/09/06 19:47:38;cash;active
EriMelo;Erika-Mélanie Melo;erimelo@li3.pt;(351) 927 548 621;2003/05/10;;HU383774;PT;Avenida Isabela Pacheco, 28741-272 Loulé;2014/02/07 08:49:34;cash;active
AlícFerreira1106;Alícia do Ferreira;alícferreira1106@li3.pt;+351924795805;1996/10/13;F;QR547560;PT;R. Melo, 2661865-337 Funchal;2020/08/16 01:24:36;;active
ToMorais;Tomé Morais;tomorais@li3.pt;922 731 056;;M;JX110041;PT;Rua de Martins, 83399-084 São João da Madeira;2020/10/18 17:15:21;cash;active
AfTorres;Afonso Torres;aftorres@li3.pt;(351) 919873556;1968/12/11;;AC418451;PT;Largo de Leal, 752344-647 Macedo de Cavaleiros;2018/11/24 20:58:23;cash;active
WilliCampos;William Campos;willicampos@li3.pt;961826281;1977/11/01;M;;PT;Av Pinheiro, 126515-540 Fiães;2011/09/27 08:02:36;cash;active
RTorres1491;Rita Torres;rtorres1491@li3.pt;(351) 916645402;1956/11/23;F;OF003065;VJA;Alameda Monteiro, 852242-141 Ovar;2012/11/21 18:05:36;cash;active
;Núria-Alexandra Lourenço;núria-alexlourenço59@li3.pt;(351) 934147720;1983/12/20;F;VH546527;PT;R. da Carvalhosa, 587968-764 Rio Tinto;2016/10/04 20:45:11;credit_card;active
AlValente1106;Alice Valente;alvalente1106@li3.pt;(351) 929889205;1974/05/02;F;AU541201;I;Largo de Sá, 8007242-709 Sintra;2014/09/08 03:13:39;credit_card;INACTIVE
EBrito-Fernandes423;Eva Brito-Fernandes;ebrito-fernandes423@li3.pt;935063199;1986/02/20;F;AL368019;ZVJ;R. de Mendes, 5066653-580 Angra do Heroísmo;2012/05/14 13:48:51;debit_card;active
FábiGaspar1268;Fábio Gaspar;fábigaspar1268@li3.pt;922 143 980;1978/07/15;M;IU337631;PT;;2016/10/18 18:05:06;credit_card;active
;Marta Monteiro;marmonteiro@li3.pt;(351) 937 250 721;1961/08/28;F;XY126654;PT;Avenida Macedo, 413435-371 Loures;2012/08/29 01:19:37;cash;active
;Carlos Gaspar;cgaspar1113@li3.pt;966538997;2001/12/05;M;LU731268;PT;Travessa Ângelo Barros, 360584-845 Peso da Régua;2018/01/16 06:40:32;credit_card;active
NunRodrigues845;Nuno Rodrigues;nunrodrigues845@li3.pt;939 631 280;1994/12/02;;RH491838;PT;Travessa Frederico Jesus, 863225-872 Beja;2015/03/19 22:35:28;credit_card;Active
GustaVieira95;Gustavo Vieira;gustavieira95@li3.pt;;1986/08/26;M;ZO152689;PT;Alameda das Garças, 5364846-841 Montemor-o-Novo;2018/12/15 02:43:10;cash;inactive
ClarPinheiro;Clara-Anita Pinheiro;clarpinheiro@li3.pt;(351) 920052120;1956/01/02;F;;PT;Praça de Guedes de Oliveira, S/N7181-778 Espinho;2018/05/21 21:39:35;cash;active
RicaSilva;Ricardo Silva;ricasilva@li3.pt;+351913987091;1960/05/01;;KQ058288;PT;Praça do Dr. Antunes Guimarães, S/N9536-653 Caldas da Rainha;2020/07/30 13:56:10;credit_card;active
MaAbreu1960;Martim Abreu;maabreu1960@li3@pt;223 049 099;2002/01/14;M;BK605805;PT;Rua Lopes, 677355-659 Vila Nova de Famalicão;2015/04/01 21:50:51;credit_card;active
CatPinho1128;Catarina Pinho;catpinho1128@li3.pt;924 156 039;1959|07|25;F;CN006524;PT;Largo Santiago Cruz, 190517-920 Abrantes;2018/06/12 18:46:59;credit_card;active
RodrigMarques;Rodrigo Marques;rodrigmarques@li3@pt;(351) 918845039;1968/08/29;M;OQ635380;PT;Praça Artur Cupertino de Miranda, 34831-369 Praia da Vitória;2011/07/16 22:50:15;cash;active
VitórBatista695;Vitória Batista;vitórbatista695@li3.pt;962769175;1983/05/05;;AO866983;PT;R. Pereira, 7266362-209 Vendas Novas;2010/12/31 22:50:50;cash;active
DianTavares812;;diantavares812@li3.pt;916 751 993;1983/03/13;F;GS325390;PT;Rua Vitória Jesus, 640797-403 Odivelas;2018/07/25 23:56:59;cash;active
BruSantos1039;Bruna Santos;brusantos1039@li3.pt;(351) 965292992;1986/07/05;F;CT787440;PT;Largo Alexandra Pinto, 8876802-596 Vila Nova de Foz Côa;;credit_card;active
NúNogueira;Núria do Nogueira;núnogueira@li3.pt;(351) 933 464 612;1990/04/21;F;;PT;Av Sophia de Mello Breyner Andresen, S/N2825-101 Vila do Conde;2011/06/05 13:46:56;credit_card;active
SamPacheco-Rodrigues1004;;sampacheco-rodrigues1004@li3.pt;(351) 933008299;1990/09/05;M;KG098953;PT;Travessa de Barbosa, 4847746-461 Trofa;2016/09/01 21:57:46;cash;active
SofiBranco1031;Sofia de Branco;sofibranco1031@li3.pt;+351927951633;1971/02/27;;FP902920;PT;Avenida dos Flamingos, 489627-682 Covilhã;2014/05/21 07:26:27;cash;active
JoeNeves1516;Joel Neves;joeneve;(351) 910767169;2003/02/14;M;FU899774;PT;Alameda de Freitas, 4425131-257 Vila Real de Santo António;2015/04/12 16:08:12;credit_card;Active
JBaptista;João Baptista;jbaptista@li3.pt;(351) 241922228;1982/02/07;M;RY855514;PT;R. do Viso, 8685582-742 Mêda;2013/01/08 23:55:02;cash;RY855514
BiLima;Bianca Lima;bilima@li3.pt;(351) 914979722;1968/12/21;F;EE130613;PT;Praça de Rocha, S/N2317-985 Queluz;2018/10/27 17:45:55;credit_card;EE130613
SaEsteves;;saesteves@li3.pt;+351925229918;1973/10/06;M;BZ836516;PT;Largo Santiago Torres, 75292-153 Portimão;2016/12/16 19:24:33;cash;active
